"","id","values","ID","Functional","Treatmentb","STREETNAME","PlanActivi","From1","BeginningS","EndingStat","PavementWi","Length","To1","NPR","OCI","ExtendedCo","Route_ID","Inspection"
"334","334",4,"83","RT - Residential Local","PM","BUTLER DR","(PM) Pavement Patching","MYSTIC AVE",0,512,26.5,512,"DEAD END",53.37,56.56,30075.82,83,"2012/09/20"
"335","335",10,"532","RT - Residential Local","DN","SPENCER AVE","Do Nothing","CEDAR ST",0,774,27,774,"HANCOCK ST",40.9,97.06,0,532,"2014/10/27"
"336","336",8,"531.1","RE - Residential Dead End","SI","SOUTH ST","(SI) 2"" Mill & Overlay Local w/ramps","HARDING ST",601,1160,33.5,559,"WINDSOR ST",46.21,37.32,172325.23,531,"2012/09/24"
"337","337",9,"531","RE - Residential Dead End","PM","SOUTH ST","(PM) Pavement Patching","MEDFORD ST",0,601,20,601,"HARDING ST",39.93,57.72,26644.42,531,"2012/09/24"
"338","338",6,"530.2","AR - Arterial","RM","SOMERVILLE AVE","(RM) Crack Seal","PROSPECT ST",1427,8846,49,7419,"CAMBRIDGE TOWNLINE",61.29,85.8,60992.42,530,"2012/06/26"
"339","339",10,"560.1","RT - Residential Local","BR","THURSTON ST","(BR) Recon/Reclaim Local w/ramps","MEDFORD ST",414,1797,26,1383,"BROADWAY (E)",66.06,15.29,602296,560,"2012/09/19"
"340","340",6,"569","RT - Residential Local","RM","TYLER ST","(RM) Crack Seal","DANE ST",0,443,26,443,"PROPERZI WAY (N)",47.47,75.72,1932.47,569,"2012/10/27"
"341","341",2,"617","RT - Residential Local","PM","WHITE ST","(PM) Pavement Patching","ELM ST",0,31,20.5,31,"CAMBRIDGE TOWNLINE",51.74,61.84,1408.67,617,"2014/11/25"
"342","342",1,"623","RT - Residential Local","SI","WILLOUGHBY ST","(SI) 2"" Mill & Overlay Local w/ramps","CENTRAL ST",0,460,26,460,"SYCAMORE ST",60.76,32.52,110058.67,623,"2012/06/26"
"343","343",3,"650","RT - Residential Local","SI","OTIS ST (W)","(SI) 2"" Mill & Overlay Local w/ramps","McGRATH HWY",0,350,26.5,350,"WIGGLESWORTH ST",57.91,41.8,85350.98,650,"2012/10/03"
"344","344",7,"652.3","CO - Collector","PM","POWDER HOUSE BLVD","(PM) Pavement Patching","NORTH ST",4293,5194,40,901,"ALEWIFE BROOK PKWY",67.16,51.72,79888.58,652,"2014/11/04"
"345","345",7,"96.2","CO - Collector","SI","CEDAR ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","MURDOCK ST",3564,4337,26.5,773,"BROADWAY (E)",71.78,39.22,223600.13,96,"2014/11/25"
"347","347",1,"457","RT - Residential Local","SI","PEMBROKE ST","(SI) 2"" Mill & Overlay Local w/ramps","SYCAMORE ST",0,470,26,470,"CENTRAL ST",59.86,35.45,112451.34,457,"2012/09/27"
"348","348",7,"455.1","RT - Residential Local","PM","PEARSON RD","(PM) Pavement Patching","WARNER ST",646,1763,26.5,1117,"DEARBORN RD",50.49,65.9,65614.35,455,"2014/10/27"
"349","349",1,"668","RE - Residential Dead End","PM","THORNDIKE ST (N)","(PM) Pavement Patching","HOLLAND ST",0,476,26.5,476,"DEAD END",38.68,61.8,27961.12,668,"2014/11/25"
"350","350",1,"69","RE - Residential Dead End","DN","BOWDOIN ST","Do Nothing","WASHINGTON ST",0,368,26,368,"DEAD END",29.86,90.45,0,69,"2012/06/26"
"351","351",6,"530.1","AR - Arterial","SI","SOMERVILLE AVE","(SI) 3"" Mill & Overlay Art/Col w/ramps","ROSSMORE ST",600,1427,52,827,"PROSPECT ST",78.08,31.24,469412.33,530,"2012/06/26"
"352","352",3,"530","AR - Arterial","SI","SOMERVILLE AVE","(SI) 3"" Mill & Overlay Art/Col w/ramps","MEDFORD ST",0,600,52,600,"ROSSMORE ST",75.62,39.24,340565.66,530,"2012/06/26"
"353","353",4,"53","RE - Residential Dead End","SI","BENEDICT ST","(SI) 2"" Mill & Overlay Local w/ramps","AUSTIN ST",0,261,26.5,261,"DEAD END",46.62,35.98,63647.17,53,"2012/09/20"
"354","354",1,"528","RT - Residential Local","SI","SMITH AVE","(SI) 2"" Mill & Overlay Local w/ramps","BEACON ST",0,263,15,263,"LINE ST",57.15,44.26,36302.49,528,"2012/09/25"
"355","355",6,"552","RT - Residential Local","DN","TAYLOR ST","Do Nothing","SYDNEY ST",0,367,26,367,"MYSTIC AVE",40.18,99.41,0,552,"2012/09/20"
"356","356",8,"556.1","RT - Residential Local","RM","TEN HILLS RD","(RM) Crack Seal","271' N OF PUTNAM RD",1033,2018,26,985,"SHORE DR",48.86,71.22,4296.8,556,"2012/10/04"
"357","357",9,"592","RT - Residential Local","PM","WARNER ST","(PM) Pavement Patching","POWDER HOUSE ROTARY",0,547,39.5,547,"MEDFORD TOWNLINE",50.57,65.66,47894.36,592,"2014/11/18"
"358","358",8,"605","RE - Residential Dead End","DN","WESLEY PARK","Do Nothing","SUMMER ST",0,400,26.5,400,"CUL-DE-SAC",27.05,99.6,0,605,"2012/09/12"
"359","359",8,"610","RT - Residential Local","DN","WESTMINSTER ST","Do Nothing","BROADWAY (E)",0,428,26,428,"ELECTRIC AVE",41.16,96.24,0,610,"2014/11/04"
"360","360",3,"643","RT - Residential Local","RM","BONAIR ST (E)","(RM) Crack Seal","CROSS ST",0,797,26.5,797,"McGRATH HWY",45.8,81.15,3543.55,643,"2012/08/30"
"361","361",1,"647","RT - Residential Local","DN","FOLEY ST","Do Nothing","MIDDLESEX AVE",0,690,48,690,"ASSEMBLY SQUARE DR",40.05,94.85,0,647,"2012/10/05"
"362","362",3,"455","RT - Residential Local","SI","PEARSON RD","(SI) 2"" Mill & Overlay Local w/ramps","BROADWAY (E)",0,646,26.5,646,"WARNER ST",57.96,41.64,157532.75,455,"2014/10/27"
